HMG
     range    damage     ttk     btk
         0   47.0000    0.4000    3.0000

   15.0000   47.0000    0.4300    3.0000

   16.0000   46.8167    0.4320    3.0000

   17.0000   46.6333    0.4340    3.0000

   18.0000   46.4500    0.4360    3.0000

   19.0000   46.2667    0.4380    3.0000

   20.0000   46.0833    0.4400    3.0000

   21.0000   45.9000    0.4420    3.0000

   22.0000   45.7167    0.4440    3.0000

   23.0000   45.5333    0.4460    3.0000

   24.0000   45.3500    0.4480    3.0000

   25.0000   45.1667    0.4500    3.0000

   26.0000   44.9833    0.4520    3.0000

   27.0000   44.8000    0.4540    3.0000

   28.0000   44.6167    0.4560    3.0000

   29.0000   44.4333    0.4580    3.0000

   30.0000   44.2500    0.4600    3.0000

   31.0000   44.0667    0.4620    3.0000

   32.0000   43.8833    0.4640    3.0000

   33.0000   43.7000    0.4660    3.0000

   34.0000   43.5167    0.4680    3.0000

   35.0000   43.3333    0.4700    3.0000

   36.0000   43.1500    0.4720    3.0000

   37.0000   42.9667    0.4740    3.0000

   38.0000   42.7833    0.4760    3.0000

   39.0000   42.6000    0.4780    3.0000

   40.0000   42.4167    0.4800    3.0000

   41.0000   42.2333    0.4820    3.0000

   42.0000   42.0500    0.4840    3.0000

   43.0000   41.8667    0.4860    3.0000

   44.0000   41.6833    0.4880    3.0000

   45.0000   41.5000    0.4900    3.0000

   46.0000   41.3167    0.4920    3.0000

   47.0000   41.1333    0.4940    3.0000

   48.0000   40.9500    0.4960    3.0000

   49.0000   40.7667    0.4980    3.0000

   50.0000   40.5833    0.5000    3.0000

   51.0000   40.4000    0.5020    3.0000

   52.0000   40.2167    0.5040    3.0000

   53.0000   40.0333    0.5060    3.0000

   54.0000   39.8500    0.5080    3.0000

   55.0000   39.6667    0.5100    3.0000

   56.0000   39.4833    0.5120    3.0000

   57.0000   39.3000    0.5140    3.0000

   58.0000   39.1167    0.5160    3.0000

   59.0000   38.9333    0.5180    3.0000

   60.0000   38.7500    0.5200    3.0000

   61.0000   38.5667    0.5220    3.0000

   62.0000   38.3833    0.5240    3.0000

   63.0000   38.2000    0.5260    3.0000

   64.0000   38.0167    0.5280    3.0000

   65.0000   37.8333    0.5300    3.0000

   66.0000   37.6500    0.5320    3.0000

   67.0000   37.4667    0.5340    3.0000

   68.0000   37.2833    0.5360    3.0000

   69.0000   37.1000    0.5380    3.0000

   70.0000   36.9167    0.5400    3.0000

   71.0000   36.7333    0.5420    3.0000

   72.0000   36.5500    0.5440    3.0000

   73.0000   36.3667    0.5460    3.0000

   74.0000   36.1833    0.5480    3.0000

   75.0000   36.0000    0.5500    3.0000

  100.0000   36.0000    0.6000    3.0000

LMG
     range    damage     ttk     btk
         0   19.0000    0.4615    6.0000

    8.0000   19.0000    0.4747    6.0000

    9.0000   18.9048    0.4763    6.0000

   10.0000   18.8095    0.4779    6.0000

   11.0000   18.7143    0.4796    6.0000

   12.0000   18.6190    0.4812    6.0000

   13.0000   18.5238    0.4828    6.0000

   14.0000   18.4286    0.4845    6.0000

   15.0000   18.3333    0.4861    6.0000

   16.0000   18.2381    0.4878    6.0000

   17.0000   18.1429    0.4894    6.0000

   18.0000   18.0476    0.4910    6.0000

   19.0000   17.9524    0.4927    6.0000

   20.0000   17.8571    0.4943    6.0000

   21.0000   17.7619    0.4960    6.0000

   22.0000   17.6667    0.4976    6.0000

   23.0000   17.5714    0.4992    6.0000

   24.0000   17.4762    0.5009    6.0000

   25.0000   17.3810    0.5025    6.0000

   26.0000   17.2857    0.5042    6.0000

   27.0000   17.1905    0.5058    6.0000

   28.0000   17.0952    0.5074    6.0000

   29.0000   17.0000    0.5091    6.0000

   30.0000   16.9048    0.5107    6.0000

   31.0000   16.8095    0.5124    6.0000

   32.0000   16.7143    0.5140    6.0000

   33.0000   16.6190    0.6079    7.0000

   34.0000   16.5238    0.6096    7.0000

   35.0000   16.4286    0.6112    7.0000

   36.0000   16.3333    0.6129    7.0000

   37.0000   16.2381    0.6145    7.0000

   38.0000   16.1429    0.6161    7.0000

   39.0000   16.0476    0.6178    7.0000

   40.0000   15.9524    0.6194    7.0000

   41.0000   15.8571    0.6211    7.0000

   42.0000   15.7619    0.6227    7.0000

   43.0000   15.6667    0.6243    7.0000

   44.0000   15.5714    0.6260    7.0000

   45.0000   15.4762    0.6276    7.0000

   46.0000   15.3810    0.6293    7.0000

   47.0000   15.2857    0.6309    7.0000

   48.0000   15.1905    0.6325    7.0000

   49.0000   15.0952    0.6342    7.0000

   50.0000   15.0000    0.6358    7.0000

  100.0000   15.0000    0.7178    7.0000

Total damage in one burst
HMG (6 sec mag size)
    range   damage
   1.0e+03 *

         0    1.4100
    0.0150    1.4100
    0.0160    1.4045
    0.0170    1.3990
    0.0180    1.3935
    0.0190    1.3880
    0.0200    1.3825
    0.0210    1.3770
    0.0220    1.3715
    0.0230    1.3660
    0.0240    1.3605
    0.0250    1.3550
    0.0260    1.3495
    0.0270    1.3440
    0.0280    1.3385
    0.0290    1.3330
    0.0300    1.3275
    0.0310    1.3220
    0.0320    1.3165
    0.0330    1.3110
    0.0340    1.3055
    0.0350    1.3000
    0.0360    1.2945
    0.0370    1.2890
    0.0380    1.2835
    0.0390    1.2780
    0.0400    1.2725
    0.0410    1.2670
    0.0420    1.2615
    0.0430    1.2560
    0.0440    1.2505
    0.0450    1.2450
    0.0460    1.2395
    0.0470    1.2340
    0.0480    1.2285
    0.0490    1.2230
    0.0500    1.2175
    0.0510    1.2120
    0.0520    1.2065
    0.0530    1.2010
    0.0540    1.1955
    0.0550    1.1900
    0.0560    1.1845
    0.0570    1.1790
    0.0580    1.1735
    0.0590    1.1680
    0.0600    1.1625
    0.0610    1.1570
    0.0620    1.1515
    0.0630    1.1460
    0.0640    1.1405
    0.0650    1.1350
    0.0660    1.1295
    0.0670    1.1240
    0.0680    1.1185
    0.0690    1.1130
    0.0700    1.1075
    0.0710    1.1020
    0.0720    1.0965
    0.0730    1.0910
    0.0740    1.0855
    0.0750    1.0800
    0.1000    1.0800

LMG (6 sec mag size)
    range   damage
         0  720.4167
    8.0000  720.4167
    9.0000  716.8056
   10.0000  713.1944
   11.0000  709.5833
   12.0000  705.9722
   13.0000  702.3611
   14.0000  698.7500
   15.0000  695.1389
   16.0000  691.5278
   17.0000  687.9167
   18.0000  684.3056
   19.0000  680.6944
   20.0000  677.0833
   21.0000  673.4722
   22.0000  669.8611
   23.0000  666.2500
   24.0000  662.6389
   25.0000  659.0278
   26.0000  655.4167
   27.0000  651.8056
   28.0000  648.1944
   29.0000  644.5833
   30.0000  640.9722
   31.0000  637.3611
   32.0000  633.7500
   33.0000  630.1389
   34.0000  626.5278
   35.0000  622.9167
   36.0000  619.3056
   37.0000  615.6944
   38.0000  612.0833
   39.0000  608.4722
   40.0000  604.8611
   41.0000  601.2500
   42.0000  597.6389
   43.0000  594.0278
   44.0000  590.4167
   45.0000  586.8056
   46.0000  583.1944
   47.0000  579.5833
   48.0000  575.9722
   49.0000  572.3611
   50.0000  568.7500
  100.0000  568.7500
